name,Year,Series,Value,Source
Iraq,2022,Population aged 60+ years old (percentage),5.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Iraq,2022,Population density,102.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2010,Population mid-year estimates (millions),4.52,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2010,Population mid-year estimates for males (millions),2.25,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2010,Population mid-year estimates for females (millions),2.28,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2010,Sex ratio (males per 100 females),98.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2010,Population aged 0 to 14 years old (percentage),21.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2010,Population aged 60+ years old (percentage),16.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2010,Population density,66.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2015,Population mid-year estimates (millions),4.67,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2015,Population mid-year estimates for males (millions),2.31,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2015,Population mid-year estimates for females (millions),2.36,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2015,Sex ratio (males per 100 females),97.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2015,Population aged 0 to 14 years old (percentage),21.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2015,Population aged 60+ years old (percentage),18.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2015,Population density,68.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2015,Surface area (thousand km2),70,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Ireland,2020,Population mid-year estimates (millions),4.95,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2020,Population mid-year estimates for males (millions),2.45,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2020,Population mid-year estimates for females (millions),2.50,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2020,Sex ratio (males per 100 females),98.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2020,Population aged 0 to 14 years old (percentage),20.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2020,Population aged 60+ years old (percentage),19.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2020,Population density,72.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2020,Surface area (thousand km2),70,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Ireland,2022,Population mid-year estimates (millions),5.02,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2022,Population mid-year estimates for males (millions),2.49,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2022,Population mid-year estimates for females (millions),2.53,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Ireland,2022,Sex ratio (males per 100 females),98.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2022,Population aged 0 to 14 years old (percentage),19.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2022,Population aged 60+ years old (percentage),20.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Ireland,2022,Population density,73.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2010,Population mid-year estimates (millions),0.08,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2010,Population mid-year estimates for males (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2010,Population mid-year estimates for females (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2010,Sex ratio (males per 100 females),98.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2010,Population aged 0 to 14 years old (percentage),16.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2010,Population aged 60+ years old (percentage),24.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2010,Population density,146.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2015,Population mid-year estimates (millions),0.08,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2015,Population mid-year estimates for males (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2015,Population mid-year estimates for females (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2015,Sex ratio (males per 100 females),98.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2015,Population aged 0 to 14 years old (percentage),16.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2015,Population aged 60+ years old (percentage),26.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2015,Population density,146.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2015,Surface area (thousand km2),1,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Isle of Man,2020,Population mid-year estimates (millions),0.08,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2020,Population mid-year estimates for males (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2020,Population mid-year estimates for females (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2020,Sex ratio (males per 100 females),98.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2020,Population aged 0 to 14 years old (percentage),15.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2020,Population aged 60+ years old (percentage),28.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2020,Population density,146.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2020,Surface area (thousand km2),1,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Isle of Man,2022,Population mid-year estimates (millions),0.08,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2022,Population mid-year estimates for males (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2022,Population mid-year estimates for females (millions),0.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Isle of Man,2022,Sex ratio (males per 100 females),98.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2022,Population aged 0 to 14 years old (percentage),14.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2022,Population aged 60+ years old (percentage),29.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Isle of Man,2022,Population density,147.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2010,Population mid-year estimates (millions),7.33,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2010,Population mid-year estimates for males (millions),3.63,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2010,Population mid-year estimates for females (millions),3.70,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2010,Sex ratio (males per 100 females),98.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2010,Population aged 0 to 14 years old (percentage),27.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2010,Population aged 60+ years old (percentage),14.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2010,Population density,338.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2015,Population mid-year estimates (millions),8.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2015,Population mid-year estimates for males (millions),3.98,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2015,Population mid-year estimates for females (millions),4.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2015,Sex ratio (males per 100 females),98.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2015,Population aged 0 to 14 years old (percentage),28.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2015,Population aged 60+ years old (percentage),15.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2015,Population density,370.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2015,Surface area (thousand km2),22,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Israel,2020,Population mid-year estimates (millions),8.76,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2020,Population mid-year estimates for males (millions),4.36,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2020,Population mid-year estimates for females (millions),4.39,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2020,Sex ratio (males per 100 females),99.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2020,Population aged 0 to 14 years old (percentage),28.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2020,Population aged 60+ years old (percentage),15.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2020,Population density,404.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2020,Surface area (thousand km2),22,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Israel,2022,Population mid-year estimates (millions),9.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2022,Population mid-year estimates for males (millions),4.51,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2022,Population mid-year estimates for females (millions),4.53,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Israel,2022,Sex ratio (males per 100 females),99.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2022,Population aged 0 to 14 years old (percentage),28.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2022,Population aged 60+ years old (percentage),16.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Israel,2022,Population density,417.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2010,Population mid-year estimates (millions),59.82,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2010,Population mid-year estimates for males (millions),28.96,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2010,Population mid-year estimates for females (millions),30.87,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2010,Sex ratio (males per 100 females),93.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2010,Population aged 0 to 14 years old (percentage),14.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2010,Population aged 60+ years old (percentage),26.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2010,Population density,202.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2015,Population mid-year estimates (millions),60.23,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2015,Population mid-year estimates for males (millions),29.21,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2015,Population mid-year estimates for females (millions),31.02,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2015,Sex ratio (males per 100 females),94.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2015,Population aged 0 to 14 years old (percentage),13.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2015,Population aged 60+ years old (percentage),28.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2015,Population density,203.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2015,Surface area (thousand km2),302,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Italy,2020,Population mid-year estimates (millions),59.50,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2020,Population mid-year estimates for males (millions),28.99,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2020,Population mid-year estimates for females (millions),30.51,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2020,Sex ratio (males per 100 females),95.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2020,Population aged 0 to 14 years old (percentage),12.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2020,Population aged 60+ years old (percentage),30.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2020,Population density,201.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2020,Surface area (thousand km2),302,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Italy,2022,Population mid-year estimates (millions),59.04,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2022,Population mid-year estimates for males (millions),28.79,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2022,Population mid-year estimates for females (millions),30.25,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Italy,2022,Sex ratio (males per 100 females),95.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2022,Population aged 0 to 14 years old (percentage),12.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2022,Population aged 60+ years old (percentage),31.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Italy,2022,Population density,199.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2010,Population mid-year estimates (millions),2.73,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2010,Population mid-year estimates for males (millions),1.36,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2010,Population mid-year estimates for females (millions),1.38,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2010,Sex ratio (males per 100 females),98.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2010,Population aged 0 to 14 years old (percentage),26.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2010,Population aged 60+ years old (percentage),8.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2010,Population density,252.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2015,Population mid-year estimates (millions),2.79,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2015,Population mid-year estimates for males (millions),1.39,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2015,Population mid-year estimates for females (millions),1.41,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2015,Sex ratio (males per 100 females),98.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2015,Population aged 0 to 14 years old (percentage),23.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2015,Population aged 60+ years old (percentage),9.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2015,Population density,258.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2015,Surface area (thousand km2),11,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Jamaica,2020,Population mid-year estimates (millions),2.82,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2020,Population mid-year estimates for males (millions),1.40,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2020,Population mid-year estimates for females (millions),1.42,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2020,Sex ratio (males per 100 females),98.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2020,Population aged 0 to 14 years old (percentage),20.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2020,Population aged 60+ years old (percentage),11.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2020,Population density,260.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2020,Surface area (thousand km2),11,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Jamaica,2022,Population mid-year estimates (millions),2.83,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2022,Population mid-year estimates for males (millions),1.40,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2022,Population mid-year estimates for females (millions),1.43,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Jamaica,2022,Sex ratio (males per 100 females),98.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2022,Population aged 0 to 14 years old (percentage),19.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2022,Population aged 60+ years old (percentage),11.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Jamaica,2022,Population density,261.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2010,Population mid-year estimates (millions),128.11,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2010,Population mid-year estimates for males (millions),62.42,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
